ŒUVRE 1	ŒUVRE 2	NUM	PERCENTAGE	TEXTE 1	TEXTE 2	INTRA
Périodiques et collectifs 1915-1942	Air de la solitude 1945	2	1	Je me souviens.	Je me souviens.	False
JOURNAL	JOURNAL	2	0.3333	Je monte à  h ½ vers V[ucherens].	Je monte vers  h vers V[ucherens].	True
JOURNAL	JOURNAL	3	0.375	Je monte à huit heures vers V[ucherens].	Je pars vers V[ucherens] à huit heures et quart.	True
JOURNAL	JOURNAL	3	0.4285	Je monte à huit heures vers V[ucherens].	Je pars vers V[ucherens] à huit heures.	True
JOURNAL	JOURNAL	3	0.4285	Je monte à huit heures vers V[ucherens].	Je monte vers V[ucherens] à huit heures ½.	True
JOURNAL	JOURNAL	3	0.3333	Je monte vers  h vers V[ucherens].	Je pars vers  ½ h vers V[ucherens] après une visite aux jardins.	True
JOURNAL	JOURNAL	2	0.3333	Je monte vers  h vers V[ucherens].	Vers  h ½, je pars vers V[ucherens].	True
JOURNAL	JOURNAL	3	0.4285	Je monte vers  h vers V[ucherens].	Lundi  juillet Vers  h je monte vers V[ucherens].	True
JOURNAL	JOURNAL	3	0.375	Je monte vers V[ucherens] à huit heures ½.	Départ pour V[ucherens] à huit heures et demie.	True
JOURNAL	JOURNAL	3	0.4285	Je monte vers V[ucherens] à huit heures ½.	Je pars pour V[ucherens] à huit heures.	True
JOURNAL	JOURNAL	4	0.5714	Je monte vers V[ucherens] à huit heures ½.	Je pars vers V[ucherens] à huit heures et quart.	True
JOURNAL	JOURNAL	4	0.6666	Je monte vers V[ucherens] à huit heures ½.	Je pars vers V[ucherens] à huit heures.	True
JOURNAL	JOURNAL	2	0.3333	Je monte vers V[ucherens] assez tard.	Je monte vers  h vers V[ucherens].	True
Périodiques et collectifs 1915-1942	Périodiques et collectifs 1915-1942	4	0.4	Je n’ai jamais retrouvé ce village.	« Écrit à Carrouge », [« Je n’ai jamais retrouvé ce village… »] Aujourd’hui, no ,  février , pp. -.	True
JOURNAL	Air de la solitude 1945	4	0.6666	Je n’ai pas une fleur à jeter là.	Pas une fleur à jeter là.	False
JOURNAL	JOURNAL	3	1	Je n’ai pas vu Olivier.	Je n’ai pas vu Olivier.	True
Périodiques et collectifs 1915-1942	JOURNAL	4	0.3076	Je n’ai plus la force de mentir.	Et si je n’ai plus la force de porter le monde il me reste le silence.)	False
Petit traité de la marche en plaine 1932	JOURNAL	4	0.3076	Je n’ai plus la force de mentir.	Et si je n’ai plus la force de porter le monde il me reste le silence.)	False
Petit traité de la marche en plaine 1932	JOURNAL	4	0.5714	Je n’ai plus la force de mentir.	Et je n’ai plus la force de le peupler.	False
Périodiques et collectifs 1915-1942	JOURNAL	4	0.5714	Je n’ai plus la force de mentir.	Et je n’ai plus la force de le peupler.	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	5	1	Je n’ai plus la force de mentir.	Je n’ai plus la force de mentir.	False
Périodiques et collectifs 1943-1976	JOURNAL	11	0.4074	Je n’ai qu’un désir : fuir ce printemps que je n’ai plus la force de peupler moi-même, n’étant plus qu’absence, et partir là-bas où tu vis.	Je n’avais qu’un désir : fuir ce printemps-là que je ne pouvais que « peu- pler » de moi-même, n’étant plus qu’absence, et partir là-bas où tu vis.	False
Périodiques et collectifs 1915-1942	JOURNAL	6	0.3333	Je n’ai rien oublié, la boisson atroce, ces amères feuilles qui remplissaient ma bouche !	Mon Dieu je n’ai rien oublié, cette boisson atroce et ces amères feuilles de thé qui remplissaient ma bouche.	False
JOURNAL	Essai pour un paradis 1932	3	0.3333	Je n’ai vraiment plus rien à faire ici.	(C’est tout, je n’ai plus rien à dire.	False
Air de la solitude 1945	Air de la solitude 1945	3	0.6	Je n’avais pas de nom.	Et moi je n’avais pas de nom.	True
Périodiques et collectifs 1915-1942	Air de la solitude 1945	4	0.5	Je n’en ai jamais reçu encore, comment faut-il faire ?	Je n’en ai jamais reçu, comment faut-il faire ?	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	2	1	Je n’en ai plus.	Je n’en ai plus.	False
Requiem 1967	Périodiques et collectifs 1943-1976	13	0.8125	Je n’en pouvais, je n’en puis plus de cerner en moi ce mystère où tout inexorablement me renfonce.	Je n’en pouvais, je n’en puis plus de cerner en moi ce mystère d’un mystère où tout inexorablement me renfonce.	False
JOURNAL	Feuillets 1929	7	0.4666	Je n’en voulais rien dire, – mais le temps et ma mémoire sont si perfides.	Ne rien dire de notre long dimanche.. – mais le temps et ma mémoire sont si perfides.	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	23	1	je n’hésite pas une seconde quand tu arrives ; c’est lorsque tu imites les autres afin de passer inaperçu que ta maladresse éclate et te signale : tu habites si gauchement l’espace !	je n’hésite pas une seconde quand tu arrives ; c’est lorsque tu imites les autres afin de passer inaperçu que ta maladresse éclate et te signale : tu habites si gauchement l’espace !	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	37	1	Je n’y suis pas entré et pourtant c’est à une de ses tables vernies que je suis assis, ayant demandé un peu de vin à boire – qui sera bien froid par cette journée d’octobre – et, signe de faiblesse, l’encrier presque vide et la plume au bec rouillé.	Je n’y suis pas entré et pourtant c’est à une de ses tables vernies que je suis assis, ayant demandé un peu de vin à boire – qui sera bien froid par cette journée d’octobre – et, signe de faiblesse, l’encrier presque vide et la plume au bec rouillé.	False
JOURNAL	Essai pour un paradis 1932	6	0.3529	Je ne commande pas mes sentiments ; parfois il me semble que mon corps les suscite.	Je ne commande pas à mes sentiments ; parfois, me semble-t-il, c’est mon corps qui les suscite.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	17	0.7391	Je ne crois pas, et maintenant que nous pensons l’avoir trouvée, il nous serait facile de décrire les détours qu’elle a suivis en lui avant de se faire jour.	Maintenant que nous pensons l’avoir trouvée, il nous serait facile de décrire les détours qu’elle a suivis en lui avant de se faire jour.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	17	0.7391	Je ne crois pas, et maintenant que nous pensons l’avoir trouvée, il nous serait facile de décrire les détours qu’elle a suivis en lui avant de se faire jour.	Maintenant que nous pensons l’avoir trouvée, il nous serait facile de décrire les détours qu’elle a suivis en lui avant de se faire jour.	True
Périodiques et collectifs 1915-1942	Air de la solitude 1945	5	1	Je ne joue pas sur les mots.	Je ne joue pas sur les mots.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	2	0.3333	Je ne l’ai pas tenté.	La rose, je ne l’ai pas trouvée.	True
Requiem 1967	Périodiques et collectifs 1915-1942	2	0.3333	Je ne parle plus, je n’interroge plus, j’écoute.	Je ne parle plus.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	2	0.3333	Je ne parle plus, je n’interroge plus, j’écoute.	Je ne parle plus.	False
Requiem 1967	Périodiques et collectifs 1915-1942	2	0.3333	Je ne parle plus, je n’interroge plus, j’écoute.	Je n’interroge plus.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	2	0.3333	Je ne parle plus, je n’interroge plus, j’écoute.	Je n’interroge plus.	False
Requiem 1967	Périodiques et collectifs 1943-1976	6	1	Je ne parle plus, je n’interroge plus, j’écoute.	Je ne parle plus, je n’interroge plus, j’écoute.	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	31	1	Je ne prononcerais pas le mot de solitude si le récit que j’essaie de te faire ne risquait pas d’en tirer une ombre de clarté ; ne veuille y chercher, je t’en supplie, nul écho de plainte, nul désir d’être plaint.	Je ne prononcerais pas le mot de solitude si le récit que j’essaie de te faire ne risquait pas d’en tirer une ombre de clarté ; ne veuille y chercher, je t’en supplie, nul écho de plainte, nul désir d’être plaint.	False
JOURNAL	Feuillets 1929	11	1	Je ne puis abandonner l’idée qu’au bout de mes perpétuels sursauts une découverte se machine.	Je ne puis abandonner l’idée qu’au bout de mes perpétuels sursauts une découverte se machine.	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	11	1	Je ne puis donner forme plus nette à ce que j’éprouve profondément mais confusément encore.	Je ne puis donner forme plus nette à ce que j’éprouve profondément mais confusément encore.	False
Périodiques et collectifs 1915-1942	JOURNAL	25	0.7352	Je ne puis me rassasier de ces accords : la branche de cerisier fleurie contre l’azur, le cerisier sauvage, cendre parmi les dômes des hêtres encore nus, mais où pose déjà le vert nouveau comme une aile.	Je ne puis me rassasier de ces accords – des plus simples : la branche de cerisier fleurie contre l’azur, le cerisier sauvage cendre grise parmi les dômes des hêtres encore nus, mais où pose déjà le vert nouveau comme une aile.	False
JOURNAL	JOURNAL	2	0.3333	Je ne puis.	Hélas je ne sais choisir, je ne puis.	True
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	24	1	Je ne sais ; je ne sais pas non plus si toutes ces choses connues qui m’entouraient n’ont pas elles aussi, tout de suite, comme toi-même, pris une étrange valeur de symbole.	Je ne sais ; je ne sais pas non plus si toutes ces choses connues qui m’entouraient n’ont pas elles aussi, tout de suite, comme toi-même, pris une étrange valeur de symbole.	False
Périodiques et collectifs 1915-1942	JOURNAL	2	0.3333	Je ne sais même pas ton nom.	Je ne sais que dire.	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	4	1	Je ne sais où je vais.	Je ne sais où je vais.	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	8	1	Je ne sais plus leurs noms, je leur donne les vôtres.	Je ne sais plus leurs noms, je leur donne les vôtres.	False
Petit traité de la marche en plaine 1932	JOURNAL	2	0.3333	Je ne sais plus.	R[a- muz] – où je ne sais plus me reconnaître.	False
Périodiques et collectifs 1915-1942	JOURNAL	2	0.3333	Je ne sais plus.	R[a- muz] – où je ne sais plus me reconnaître.	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	2	0.6666	Je ne sais plus.	Ah, je ne sais plus.	False
Petit traité de la marche en plaine 1932	Petit traité de la marche en plaine 1932	2	0.6666	Je ne sais plus.	L’HOMME. – Je ne sais plus.	True
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	2	1	Je ne sais plus.	Je ne sais plus.	False
Périodiques et collectifs 1915-1942	Air de la solitude 1945	10	1	Je ne sais quelle folie m’a fait un jour interroger quelqu’un de là-bas.	Je ne sais quelle folie m’a fait un jour interroger quelqu’un de là-bas.	False
Périodiques et collectifs 1915-1942	Air de la solitude 1945	27	1	Je ne sais, comme j’ignore aussi d’où naît mon bonheur à vivre quelques heures dans un de ces moulins qu’on découvre encore ça et là dans nos campagnes, au repli d’une rivière ou d’un ruisseau.	Je ne sais, comme j’ignore aussi d’où naît mon bonheur à vivre quelques heures dans un de ces moulins qu’on découvre encore ça et là dans nos campagnes, au repli d’une rivière ou d’un ruisseau.	False
JOURNAL	Feuillets 1929	32	0.6666	Je ne sais, mais j’essaie de me redire (pour me dissimuler à moi-même le tragique de mon existence) qu’il vaut mieux la recherche désespérée – jusqu’à la fin – que le choix raisonné d’un dogme (dans n’importe quel domaine de l’activité spirituelle) capable de vous imposer la paix.   février N’y a-t-il que deux moments dans l’année où je puisse composer ?	Je ne sais, mais j’essaie de me redire (pour me dissimuler le tragique de mon existence) qu’il vaut mieux la recherche désespérée – jusqu’à la fin – que le choix raisonné d’un dogme, dans n’importe quel domaine de l’activité spirituelle, capable de vous imposer la paix.	False
JOURNAL	JOURNAL	2	0.3333	Je ne sais.	Hélas je ne sais choisir, je ne puis.	True
Pour un moissonneur 1941	Périodiques et collectifs 1915-1942	3	0.4285	Je ne savais même pas ton nom.	Je ne sais même pas ton nom.	False
Périodiques et collectifs 1915-1942	Périodiques et collectifs 1915-1942	3	0.4285	Je ne savais même pas ton nom.	Je ne sais même pas ton nom.	True
Pour un moissonneur 1941	Périodiques et collectifs 1915-1942	5	1	Je ne savais même pas ton nom.	Je ne savais même pas ton nom.	False
Périodiques et collectifs 1915-1942	Air de la solitude 1945	5	1	Je ne serai pas toujours si fort.	Je ne serai pas toujours si fort.	False
Périodiques et collectifs 1943-1976	Air de la solitude 1945	5	1	Je ne serai pas toujours si fort.	Je ne serai pas toujours si fort.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	5	1	Je ne serai pas toujours si fort.	Je ne serai pas toujours si fort.	False
Petit traité de la marche en plaine 1932	JOURNAL	2	0.3333	Je ne suis pas seul.	dis-moi que je ne suis pas perdu ?	False
Périodiques et collectifs 1915-1942	JOURNAL	2	0.3333	Je ne suis pas seul.	dis-moi que je ne suis pas perdu ?	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1943-1976	3	0.375	Je ne suis pas seul.	Mais je ne suis pas seul à vous dire cet adieu.	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	3	1	Je ne suis pas seul.	Je ne suis pas seul.	False
Périodiques et collectifs 1915-1942	Périodiques et collectifs 1915-1942	13	1	Je ne suis pas un témoin qui juge et compare, le cœur vide et les yeux secs.	Je ne suis pas un témoin qui juge et compare, le cœur vide et les yeux secs.	True
Périodiques et collectifs 1915-1942	Campagne perdue 1972	23	0.3709	Je ne t’ai jamais vu, et pourtant ton grand corps bleu est assis près de moi la tête un peu penchée, l’épaule touchée d’un rayon si chaud que ta force chancelle et que tu restes là sans bouger, le regard perdu, l’esprit noyé sous la chaude floraison du sang nouveau.	Personne – et pourtant la profonde présence de l’invisible bûcheron de mai parmi toutes ces choses qu’il a touchées : son grand corps bleu est assis tout proche, l’épaule frôlée d’un rayon si chaud que sa force chancelle et qu’il reste là sans bouger, la tête un peu penchée, le regard perdu, l’esprit noyé sous la chaude floraison du sang nouveau.	False
Périodiques et collectifs 1915-1942	Air de la solitude 1945	45	1	Je ne veux pas dire que nous n’y participions pas par le cœur ou l’esprit, car depuis le début de la guerre nous ne pouvions pas n’être pas engagés, et pour le cœur et l’esprit n’existe guère, par bonheur, le mot « frontière », mais cependant ce mot s’était matérialisé pour nous avec une puissance singulière et comme accablante.	Je ne veux pas dire que nous n’y participions pas par le cœur ou l’esprit, car depuis le début de la guerre nous ne pouvions pas n’être pas engagés, et pour le cœur et l’esprit n’existe guère, par bonheur, le mot « frontière », mais cependant ce mot s’était matérialisé pour nous avec une puissance singulière et comme accablante.	False
Périodiques et collectifs 1915-1942	Périodiques et collectifs 1915-1942	2	1	Je ne vois rien.	Je ne vois rien.	True
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	8	1	Je parle à ceux qui attendent, mais y en a-t-il encore ?	Je parle à ceux qui attendent, mais y en a-t-il encore ?	False
Périodiques et collectifs 1943-1976	Haut-Jorat 1949	39	0.619	Je parle, bien entendu, du voyageur qui ne recherche pas l’ombre en soi, la framboise ou la chanterelle en soi, sans nul souci du lieu qui l’offre, mais bien de celui qui est sensible avant tout à l’ensemble du paysage, au climat, si je puis dire, qui s’en dégage… Mais un regard plus appuyé, plus attentif finit par découvrir la cause profonde de notre malaise.	Je ne parle point, bien entendu, du voyageur qui recherche l’ombre « en soi », la framboise ou la chanterelle « en soi » sans nul souci du lieu qui l’offre, mais bien de celui qui est avant tout sensible à l’ensemble du paysage, au climat, si l’on peut dire, qui s’en dégage… Cependant un regard plus appuyé, plus attentif finit par découvrir la cause profonde d’un tel malaise.	False
JOURNAL	JOURNAL	3	0.375	Je pars à huit heures pour V[ucherens].	Départ pour V[ucherens] à huit heures et demie.	True
JOURNAL	JOURNAL	3	0.375	Je pars pour V[ucherens] à huit heures.	Je pars vers V[ucherens] à huit heures et quart.	True
JOURNAL	JOURNAL	3	0.4285	Je pars pour V[ucherens] à huit heures.	Je pars vers V[ucherens] à huit heures.	True
JOURNAL	JOURNAL	4	0.5714	Je pars pour V[ucherens] à huit heures.	Départ pour V[ucherens] à huit heures et demie.	True
JOURNAL	JOURNAL	4	0.6666	Je pars pour V[ucherens] à huit heures.	Je pars à huit heures pour V[ucherens].	True
JOURNAL	JOURNAL	3	0.3	Je pars pour V[ucherens] par un soleil couchant très blanc.	Vers huit heures déjà, je pars pour V[ucherens].	True
JOURNAL	JOURNAL	2	0.3333	Je pars vers  h pour V[ucherens].	Je pars à  h ½ pour Vucherens.	True
JOURNAL	JOURNAL	2	0.3333	Je pars vers  h pour V[ucherens].	Vers  h ½, je pars vers V[ucherens].	True
JOURNAL	JOURNAL	3	0.3333	Je pars vers V[ucherens] à huit heures et quart.	Départ pour V[ucherens] à huit heures et demie.	True
JOURNAL	JOURNAL	3	0.375	Je pars vers V[ucherens] à huit heures.	Départ pour V[ucherens] à huit heures et demie.	True
JOURNAL	JOURNAL	5	0.8333	Je pars vers V[ucherens] à huit heures.	Je pars vers V[ucherens] à huit heures et quart.	True
Pour un moissonneur 1941	Périodiques et collectifs 1915-1942	3	1	Je partirais les yeux fermés.	Je partirais les yeux fermés.	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	30	1	Je passe sur l’allégresse cent fois décrite née de l’unisson rythmique obtenu par deux cents hommes que soude une fanfare éclatante, et qui renaît chaque fois que cesse la « marche à volonté » parmi les rires et la fumée.	Je passe sur l’allégresse cent fois décrite née de l’unisson rythmique obtenu par deux cents hommes que soude une fanfare éclatante, et qui renaît chaque fois que cesse la « marche à volonté » parmi les rires et la fumée.	False
Périodiques et collectifs 1943-1976	Air de la solitude 1945	2	1	Je pense à toi.	Je pense à toi.	False
Périodiques et collectifs 1915-1942	Campagne perdue 1972	4	0.3636	Je perdais pied, je perdais poids ; il me semblait marcher vers un moi-même mystérieusement réapparu.	Je perdais pied, je perdais poids.	False
Périodiques et collectifs 1915-1942	JOURNAL	9	0.5625	je pose avec peine au chemin de neige et de gravier un pas incertain comme les songes.	j’avance avec peine au chemin de neige et de gravier un pas incertain comme mes songes.	False
Requiem 1967	Périodiques et collectifs 1915-1942	10	0.5882	Je pose un pas toujours plus lent dans le sentier des signes qu’un seul froissement de feuilles effarouche.	*  Je pose un pas toujours plus doux dans le sentier des signes qu’un froissement de feuilles effarouche.	False
Requiem 1967	Périodiques et collectifs 1943-1976	13	0.8666	Je pose un pas toujours plus lent dans le sentier des signes qu’un seul froissement de feuilles effarouche.	VII  Je pose un pas toujours plus lent dans le sentier des signes qu’un seul froissement de feuilles effarouche.	False
Périodiques et collectifs 1915-1942	Air de la solitude 1945	5	1	Je pris l’une des routes, au hasard.	Je pris l’une des routes, au hasard.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	2	1	Je puis maintenant repartir.	Je puis maintenant repartir.	False
Périodiques et collectifs 1915-1942	Périodiques et collectifs 1915-1942	25	0.6578	Je puis repartir maintenant vers ces villages aux noms perdus qui vont m’accueillir l’un après l’autre, avec leurs jardins trop fleuris, doux au regard comme une riche tapisserie usée, et ces nappes d’odeur – réséda, rose, poussière – que l’on divise, lèvres sèches, comme un nageur.	Les villages aux noms perdus vont m’accueillir l’un après l’autre, avec leurs jardins trop fleuris, doux au regard comme une tapisserie usée, et ces nappes d’odeur – réséda, rose, poussière – que l’on divise, lèvres sèches, comme un nageur.	True
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	31	0.8857	Je puis rire, chanter si vous le demandez ; je saurai sur mes genoux tenir un petit enfant qui bâille, qui pleure, doucement l’endormir… Et voyez, rien de plus familier que mes gestes : je tire une boîte de ma poche, j’allume une cigarette.	Je puis rire, chanter si vous le demandez ; je saurai sur mes genoux tenir un petit enfant qui baille, qui pleure, doucement l’endormir… Et voyez, rien de plus familier que mes gestes : je tire une boîte de ma poche, j’allume une cigarette.	False
Pour un moissonneur 1941	Périodiques et collectifs 1915-1942	6	1	Je puis te redire chaque arbre, chaque lampe.	Je puis te redire chaque arbre, chaque lampe.	False
Périodiques et collectifs 1915-1942	Les fleurs et les saisons	13	0.65	Je puis toucher une rose, lire hors du verre bleu, dans cette molle mêlée de pétales désunis, le mystérieux langage des formes.	LA GRANDE MARGUERITE  Je puis toucher une rose, lire dans cette molle mêlée de pétales désunis le mystérieux langage des formes.	False
Périodiques et collectifs 1915-1942	Les fleurs et les saisons	17	1	Je puis toucher une rose, lire hors du verre bleu, dans cette molle mêlée de pétales désunis, le mystérieux langage des formes.	Je puis toucher une rose, lire hors du verre bleu, dans cette molle mêlée de pétales désunis, le mystérieux langage des formes.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	10	0.7142	Je recommence une longue marche sans heure et sans chemin dans l’herbe, les labours, la neige.	Je recommence une longue marche sans heure et sans chemin dans l’herbe, les labours, les neiges.	True
Requiem 1967	Périodiques et collectifs 1943-1976	10	0.7142	Je recommence une longue marche sans heure et sans chemin dans l’herbe, les labours, la neige.	Je recommence une longue marche sans heure et sans chemin dans l’herbe, les labours, les neiges.	False
Requiem 1967	Périodiques et collectifs 1915-1942	12	1	Je recommence une longue marche sans heure et sans chemin dans l’herbe, les labours, la neige.	Je recommence une longue marche sans heure et sans chemin dans l’herbe, les labours, la neige.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	12	1	Je recommence une longue marche sans heure et sans chemin dans l’herbe, les labours, la neige.	Je recommence une longue marche sans heure et sans chemin dans l’herbe, les labours, la neige.	False
Requiem 1967	Périodiques et collectifs 1943-1976	12	1	Je recommence une longue marche sans heure et sans chemin dans l’herbe, les labours, la neige.	Je recommence une longue marche sans heure et sans chemin dans l’herbe, les labours, la neige.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	10	0.7142	Je recommence une longue marche sans heure et sans chemin dans l’herbe, les labours, les neiges.	Je recommence une longue marche sans heure et sans chemin dans l’herbe, les labours, la neige.	False
Périodiques et collectifs 1915-1942	Périodiques et collectifs 1915-1942	15	1	Je referme les yeux sur cet autre brasier : la première tache d’orge parmi le vert, le premier feu des seigles.	Je referme les yeux sur cet autre brasier : la première tache d’orge parmi le vert, le premier feu des seigles.	True
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	14	0.8235	Je regarde à la barrière d’un jardin une rose-trémière pencher vers moi ses roses fripées avec une sorte de tendresse humaine.	Je regarde à la barrière d’un jardin une rose-trémière pencher vers moi ses roses avec une sorte de tendresse humaine.	True
Périodiques et collectifs 1915-1942	Les fleurs et les saisons	10	1	Je regarde aujourd’hui toutes ces fleurs : elles vivent, mais pour combien de temps encore ?	Je regarde aujourd’hui toutes ces fleurs : elles vivent, mais pour combien de temps encore ?	False
JOURNAL	Essai pour un paradis 1932	7	0.3181	Je regarde ces mains, si pleines, fortes, sans une blessure malgré tout ce que les branchages desséchés ont de hargneux parfois.	Je regarde ces mains si pleines, si fortes, sans une blessure malgré la hargne des branchages secs.	False
Périodiques et collectifs 1915-1942	JOURNAL	25	0.5319	Je regarde devant moi : des boîtes, une pipe, un couteau, un vase bleu et transpa­rent (deux violettes mortes au fond), et ma main qui avance sur cette ligne, agitant drôlement le bec d’or qui laisse derrière lui ces mots.	Je regarde devant moi : des bottes, une pipe, un couteau, un vase bleu et transparent, deux violettes mortes au fond, et ma main qui avance sur cette ligne, s’agitant drôlement avec le bec d’or qui laisse derrière lui ces mots, le portrait de Secretan (on joue du piano, les cloches ne se taisent point).	False
Requiem 1967	Périodiques et collectifs 1943-1976	5	0.625	Je regarde l’eau tout étoilée de feuilles mortes et d’écumes.	Je regarde l’eau tout étoilée de feuilles mortes.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	5	0.625	Je regarde l’eau tout étoilée de feuilles mortes et d’écumes.	Je regarde l’eau tout étoilée de feuilles mortes.	True
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	7	1	Je regarde l’eau tout étoilée de feuilles mortes et d’écumes.	Je regarde l’eau tout étoilée de feuilles mortes et d’écumes.	False
Périodiques et collectifs 1915-1942	Périodiques et collectifs 1915-1942	7	1	Je regarde l’eau tout étoilée de feuilles mortes et d’écumes.	Je regarde l’eau tout étoilée de feuilles mortes et d’écumes.	True
Requiem 1967	Périodiques et collectifs 1915-1942	7	1	Je regarde l’eau tout étoilée de feuilles mortes et d’écumes.	Je regarde l’eau tout étoilée de feuilles mortes et d’écumes.	False
Requiem 1967	Périodiques et collectifs 1915-1942	7	1	Je regarde l’eau tout étoilée de feuilles mortes et d’écumes.	Je regarde l’eau tout étoilée de feuilles mortes et d’écumes.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	7	1	Je regarde l’eau tout étoilée de feuilles mortes et d’écumes.	Je regarde l’eau tout étoilée de feuilles mortes et d’écumes.	False
Requiem 1967	Périodiques et collectifs 1943-1976	7	1	Je regarde l’eau tout étoilée de feuilles mortes et d’écumes.	Je regarde l’eau tout étoilée de feuilles mortes et d’écumes.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	5	0.625	Je regarde l’eau tout étoilée de feuilles mortes.	Je regarde l’eau tout étoilée de feuilles mortes et d’écumes.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	5	0.625	Je regarde l’eau tout étoilée de feuilles mortes.	Je regarde l’eau tout étoilée de feuilles mortes et d’écumes.	False
Périodiques et collectifs 1915-1942	Air de la solitude 1945	13	0.8666	Je regarde la chevelure où déjà perce l’argent, l’épaule pure qui commence, tout de suite couverte par le linge.	Je regarde la chevelure où déjà perce l’argent, l’épaule pure qui commence, tout de suite couverte par la toile.	False
Périodiques et collectifs 1915-1942	Air de la solitude 1945	9	0.8181	Je regarde la route où nous avons passé, le troisième jour depuis l’armistice.	Je regarde la route où nous avons passé, le troisième jour depuis l’armistice.	False
Périodiques et collectifs 1943-1976	Le repos du cavalier 1958	49	1	Je regarde le fleuve de brouillard s’élargir, noyer sa rive, cette pente de terre nue où côte à côte nous avons marché tout un après-midi d’automne, herseur le poing à la bride du gros rouan débonnaire, herseur qui riais dans le soleil – et la bête à chaque halte au bord du champ refermait sa paupière cousue de gros crin pâle… Je regarde.	Je regarde le fleuve de brouillard s’élargir, noyer sa rive, cette pente de terre nue où côte à côte nous avons marché tout un après-midi d’automne, herseur le poing à la bride du gros rouan débonnaire, herseur qui riais dans le soleil, et la bête à chaque halte au bord du champ refermait sa paupière cousue de gros crin pâle… Je regarde.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	10	0.3703	Je regarde les maisons des hommes, ces beaux villages renversés aux collines comme des corbeilles de pommes rouges, – tous les villages que j’aimais.	Je regarde les maisons des hommes, les beaux villages renversés aux prairies comme une corbeille de pommes rose et rouge, – tous les villages que j’aimais.	False
Requiem 1967	Périodiques et collectifs 1915-1942	10	0.3703	Je regarde les maisons des hommes, ces beaux villages renversés aux collines comme des corbeilles de pommes rouges, – tous les villages que j’aimais.	Je regarde les maisons des hommes, les beaux villages renversés aux prairies comme une corbeille de pommes rose et rouge, – tous les villages que j’aimais.	False
Périodiques et collectifs 1915-1942	Périodiques et collectifs 1915-1942	10	0.3703	Je regarde les maisons des hommes, ces beaux villages renversés aux collines comme des corbeilles de pommes rouges, – tous les villages que j’aimais.	Je regarde les maisons des hommes, les beaux villages renversés aux prairies comme une corbeille de pommes rose et rouge, – tous les villages que j’aimais.	True
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	10	0.3703	Je regarde les maisons des hommes, ces beaux villages renversés aux collines comme des corbeilles de pommes rouges, – tous les villages que j’aimais.	Je regarde les maisons des hommes, les beaux villages renversés aux prairies comme une corbeille de pommes rose et rouge, – tous les villages que j’aimais.	False
Requiem 1967	Périodiques et collectifs 1915-1942	18	1	Je regarde les maisons des hommes, ces beaux villages renversés aux collines comme des corbeilles de pommes rouges, – tous les villages que j’aimais.	Je regarde les maisons des hommes, ces beaux villages renversés aux collines comme des corbeilles de pommes rouges, – tous les villages que j’aimais.	False
